Latin_Name,NCRN_Common,Common,Family,Genus,Species,TSN,Favorite,Woody,Herbaceous,Targeted_Herb,Tree,Shrub,Vine,Exotic
Abies sp.,fir,fir,Pinaceae,Abies,,18031,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Abies balsamea,balsam fir,balsam fir,Pinaceae,Abies,balsamea,18032,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Abutilon sp.,Indian mallow,Indian mallow,Malvaceae,Abutilon,,21659,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Abutilon theophrasti,velvetleaf,velvetleaf,Malvaceae,Abutilon,theophrasti,21674,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Acalypha sp.,copperleaf,copperleaf,Euphorbiaceae,Acalypha,,28178,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Acalypha deamii,Deam's threeseed mercury,Deam's threeseed mercury,Euphorbiaceae,Acalypha,deamii,508244,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Acalypha gracilens,slender threeseed mercury,slender threeseed mercury,Euphorbiaceae,Acalypha,gracilens,28183,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Acalypha ostryifolia,pineland threeseed mercury,pineland threeseed mercury,Euphorbiaceae,Acalypha,ostryifolia,28189,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Acalypha rhomboidea,common threeseed mercury,common threeseed mercury,Euphorbiaceae,Acalypha,rhomboidea,28193,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Acalypha virginica,Virginia threeseed mercury,Virginia threeseed mercury,Euphorbiaceae,Acalypha,virginica,28195,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Acanthaceae,,,Acanthaceae,,,34350,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Acanthospermum sp.,starburr,starburr,Asteraceae,Acanthospermum,,36444,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Acanthospermum australe,Paraguayan starburr,Paraguayan starburr,Asteraceae,Acanthospermum,australe,36445,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Acer sp.,maple,maple,Aceraceae,Acer,,28727,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Acer campestre,hedge maple,hedge maple,Aceraceae,Acer,campestre,28739,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Acer ginnala,Amur maple,Amur maple,Aceraceae,Acer,ginnala,28741,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Acer negundo,boxelder,boxelder,Aceraceae,Acer,negundo,28749,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Acer negundo var. negundo,boxelder,boxelder,Aceraceae,Acer,negundo,28750,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Acer nigrum,black maple,black maple,Aceraceae,Acer,nigrum,182135,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Acer palmatum,Japanese maple,Japanese maple,Aceraceae,Acer,palmatum,182136,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
Acer pensylvanicum,striped maple,striped maple,Aceraceae,Acer,pensylvanicum,28754,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Acer platanoides,Norway maple,Norway maple,Aceraceae,Acer,platanoides,28755,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
Acer pseudoplatanus,sycamore maple,sycamore maple,Aceraceae,Acer,pseudoplatanus,28756,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Acer rubrum,red maple,red maple,Aceraceae,Acer,rubrum,28728,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Acer rubrum var. rubrum,red maple,red maple,Aceraceae,Acer,rubrum,28729,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Acer rubrum var. trilobum,red maple,red maple,Aceraceae,Acer,rubrum,182127,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Acer saccharinum,silver maple,silver maple,Aceraceae,Acer,saccharinum,28757,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Acer saccharum,sugar maple,sugar maple,Aceraceae,Acer,saccharum,28731,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Acer saccharum var. saccharum,sugar maple,sugar maple,Aceraceae,Acer,saccharum,28732,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Acer spicatum,mountain maple,mountain maple,Aceraceae,Acer,spicatum,28758,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Aceraceae,,,Aceraceae,,,28726,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Achillea sp.,yarrow,yarrow,Asteraceae,Achillea,,35422,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Achillea millefolium,common yarrow,common yarrow,Asteraceae,Achillea,millefolium,35423,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Achillea millefolium var. millefolium,common yarrow,common yarrow,Asteraceae,Achillea,millefolium,182383,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Achillea millefolium var. occidentalis,western yarrow,western yarrow,Asteraceae,Achillea,millefolium,526856,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Achillea ptarmica,sneezeweed,sneezeweed,Asteraceae,Achillea,ptarmica,35429,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Achyranthes sp.,chaff flower,chaff flower,Amaranthaceae,Achyranthes,,20755,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Achyranthes japonica,Japanese chaff flower,Japanese chaff flower,Amaranthaceae,Achyranthes,japonica,181938,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Achyranthes japonica var. hachijoensis,Japanese chaff flower,Japanese chaff flower,Amaranthaceae,Achyranthes,japonica,181939,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
